domain,symptom,missed_avoid_freq,svc_ts,case_data
Refrigeration,not dispensing ice,29,2016-08-24T18:36:26.873000,"K22644634,K12573188,K57435228,K74703282,K63524102,K04695435,K66421918"
Refrigeration,noise,29,2016-08-24T18:27:09.173000,"K05703652,K72567184,K95054095,K35555907,K31048934,K45546522,K11609054,K52846840,K80252552,K24863464,K53520297,K90516936,K20254308,K71421993,K44210224,K51156309,K54111380,K65042018,K33623062"
Refrigeration,freezer not cooling,28,2016-08-24T18:33:33.493000,"K83461703,K16931553,K71532941,K37280721,K75751213,K61679903,K27070130,K48106913,K98570133,K25198522,K23863325,K32451504,K50811256,K80844111,K10033905,K41991000,K49204705,K51425358,K58635004"
Dryer,noise,25,2016-08-24T17:47:01.900000,"K93859450,K07173040,K81058330,K56215192,K30404486,K13123143,K25515152,K06305434,K94354301,K15035930,K33524586"
Washer,not agitating,25,2016-08-24T18:39:25.602000,"K55518445,K34642257,K59153440"
Refrigeration,not making enough ice,25,2016-08-24T18:22:55.034000,"K15930152,K10849800,K00517040,K71500364,K38240081,K50321700,K38540472,K91086931,K73206535,K52365072,K71568123,K06854385,K35110253"
HVAC,leaking,25,2016-08-24T17:08:47.852000,"K31724818,K94303035,K53550181,K40161201,K07390494,K30624830,K14320320,K80525634,K42208704,K86534830,K31320407,K08657030,K21464243,K44409038,K53008034,K74473703,K52241242"
Dryer,no power,23,2016-08-24T16:04:04.021000,"K54699012,K21155816,K15810034,K05575497,K11035256,K16285540"
Refrigeration,not cooling properly,23,2016-08-24T16:49:28.034000,"K74959840,K21835527,K38436002,K71214385,K32011107,K09514812,K17329434,K90221064,K75354280,K13421711,K42447640,K39461964,K93552554,K54553070,K48136446,K13143504,K81021512,K15349128,K09350259"
Refrigeration,not working,23,2016-08-24T17:22:54.134000,"K05703652,K72567184,K93385070,K24863464,K45644551,K53520297,K90516936,K71532941,K20254308,K75751213,K31043455,K44210224,K51156309,K31657555,K33772140,K58475322,K23863325,K92532921,K15609174"
Dryer,taking too long to dry,23,2016-08-24T16:52:44.111000,"K44343207,K06523316,K11850393,K91230329,K23586020,K60275334,K01251166,K81269759,K06943359"
Washer,leaking from bottom,23,2016-08-24T17:26:06.025000,"K50456523,K01026345,K84504138,K44164041"
Washer,making noise,22,2016-08-24T14:53:30.979000,"K17219414,K76590213,K44336420,K91802820,K36581248,K46422958,K88041152,K85973244"
Refrigeration,not making any ice,22,2016-08-24T18:24:55.439000,"K05703652,K72567184,K11609054,K24863464,K53520297,K90516936,K20254308,K44210224,K51156309,K54111380,K66124532,K71355576,K25165429,K22555061,K54210535,K30014110,K15550895"
